Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
LVAD119_S8_R2_001_val_2	LVAD119_S8_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36216830.0	0.0	20-76	49.0	34.0622231909994	74.45381763119522	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD121_S9_R1_001_val_1	LVAD121_S9_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43330272.0	0.0	20-76	48.0	26.770718812083743	74.97644985935007	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
LVAD121_S9_R2_001_val_2	LVAD121_S9_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43330272.0	0.0	20-76	49.0	35.26524937517912	74.474669579734	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD122_S10_R1_001_val_1	LVAD122_S10_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41230610.0	0.0	20-76	48.0	25.642880939506878	74.98835515652085	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD122_S10_R2_001_val_2	LVAD122_S10_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41230610.0	0.0	20-76	49.0	34.68842202422374	74.50550059773552	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD125_S11_R1_001_val_1	LVAD125_S11_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42657453.0	0.0	20-76	48.0	25.179012937046547	74.97205639539708	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD125_S11_R2_001_val_2	LVAD125_S11_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42657453.0	0.0	20-76	49.0	33.50075795465544	74.4310293912766	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
LVAD127_S12_R1_001_val_1	LVAD127_S12_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47272940.0	0.0	20-76	48.0	28.50113711060218	74.99299975842416	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
LVAD127_S12_R2_001_val_2	LVAD127_S12_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47272940.0	0.0	20-76	49.0	37.50809278531872	74.49700767500393	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD130_S1_R1_001_val_1	LVAD130_S1_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35022667.0	0.0	18-76	49.0	25.660288015028204	74.21735871799827	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD130_S1_R2_001_val_2	LVAD130_S1_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35022667.0	0.0	18-76	50.0	34.20527849569831	74.00475440662471	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD132_S2_R1_001_val_1	LVAD132_S2_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37575466.0	0.0	20-76	49.0	21.727739332533098	74.97797727911079	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD132_S2_R2_001_val_2	LVAD132_S2_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37575466.0	0.0	20-76	50.0	29.452000109684207	74.41011776141379	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
LVAD133_S3_R1_001_val_1	LVAD133_S3_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38644497.0	0.0	20-76	49.0	25.228474034101534	74.9881352576539	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD133_S3_R2_001_val_2	LVAD133_S3_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38644497.0	0.0	20-76	50.0	33.74487937904885	74.47248636720514	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
LVAD140_S4_R1_001_val_1	LVAD140_S4_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37761620.0	0.0	18-76	49.0	23.954743415051226	74.19963942224936	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD140_S4_R2_001_val_2	LVAD140_S4_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37761620.0	0.0	18-76	49.0	32.8776349417698	74.05463547379588	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD141_S5_R1_001_val_1	LVAD141_S5_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25647336.0	0.0	20-76	49.0	24.71252949082184	74.97264979099583	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD141_S5_R2_001_val_2	LVAD141_S5_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25647336.0	0.0	20-76	50.0	33.1278696308284	74.53705008582568	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD142_S6_R1_001_val_1	LVAD142_S6_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35894657.0	0.0	20-76	48.0	23.584330536607595	74.97450681866106	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD142_S6_R2_001_val_2	LVAD142_S6_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35894657.0	0.0	20-76	50.0	32.00733385931091	74.49476689525129	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD153_S7_R1_001_val_1	LVAD153_S7_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47437726.0	0.0	20-76	48.0	23.614355137331046	74.9760123408951	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD153_S7_R2_001_val_2	LVAD153_S7_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47437726.0	0.0	20-76	49.0	31.481232142181888	74.44125551043489	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD157_S8_R1_001_val_1	LVAD157_S8_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33781154.0	0.0	20-76	49.0	26.783937909348275	74.97984473828218	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
LVAD157_S8_R2_001_val_2	LVAD157_S8_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33781154.0	0.0	20-76	50.0	35.836243138340855	74.41004898766928	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
