Sample	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
LVAD122_S10_R2_001			1.9140658962060009					
LVAD122_S10_R2_001_val_2				65.31157797577626	49.0	74.50550059773552	25.0	41230610.0
LVAD125_S11	87.68	37859881.0						
LVAD125_S11_	87.69	37405880.0						
LVAD125_S11_R1_001			0.4653064612342058					
LVAD125_S11_R1_001_val_1				74.82098706295345	48.0	74.97205639539708	25.0	42657453.0
LVAD125_S11_R2_001			2.089409998744753					
LVAD125_S11_R2_001_val_2				66.49924204534456	49.0	74.4310293912766	33.33333333333333	42657453.0
LVAD127_S12	89.83	42970582.0						
LVAD127_S12_	89.35	42238809.0						
LVAD127_S12_R1_001			0.4725575644035164					
LVAD127_S12_R1_001_val_1				71.49886288939783	48.0	74.99299975842416	33.33333333333333	47272940.0
LVAD127_S12_R2_001			1.9260735654197694					
LVAD127_S12_R2_001_val_2				62.49190721468128	49.0	74.49700767500393	25.0	47272940.0
LVAD130_S1	88.08	31310003.0						
LVAD130_S1_	88.31	30929168.0						
LVAD130_S1_R1_001			1.3448385816197408					
LVAD130_S1_R1_001_val_1				74.3397119849718	49.0	74.21735871799827	25.0	35022667.0
LVAD130_S1_R2_001			2.5595570387819873					
LVAD130_S1_R2_001_val_2				65.79472150430169	50.0	74.00475440662471	25.0	35022667.0
LVAD132_S2	87.59	33268859.0						
LVAD132_S2_	87.54	32894319.0						
LVAD132_S2_R1_001			0.48333660932835565					
LVAD132_S2_R1_001_val_1				78.2722606674669	49.0	74.97797727911079	25.0	37575466.0
LVAD132_S2_R2_001			1.9894217970763388					
LVAD132_S2_R2_001_val_2				70.5479998903158	50.0	74.41011776141379	33.33333333333333	37575466.0
LVAD133_S3	89.05	34735926.0						
LVAD133_S3_	88.52	34206979.0						
LVAD133_S3_R1_001			0.4527217798464601					
LVAD133_S3_R1_001_val_1				74.77152596589846	49.0	74.9881352576539	25.0	38644497.0
LVAD133_S3_R2_001			1.8104591161768613					
